away_team,week,posteam,drive_play_count,drive,qtr,drive_start_yard_line,drive_end_yard_line,drive_end_transition,down,ydstogo,yrdln,time,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,pass_length,pass_location,air_yards,yards_after_catch,goal_to_go,first_down_pass,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,interception,drive_time_of_possession,drive_first_downs,drive_inside20,drive_ended_with_score,drive_yards_penalized,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,tackle_for_loss_1_player_name,tackle_for_loss_2_player_name,qb_hit_1_player_name,pass_defense_1_player_name,fumbled_1_player_name,sack_player_name,half_sack_1_player_name,half_sack_2_player_name,replay_or_challenge_result,penalty_type,drive_start_transition
GB,1,PHI,3,4,1,PHI 16,PHI 20,FUMBLE,1,10,PHI 16,08:21,-2,(8:21) 26-S.Barkley right guard to PHI 19 for 3 yards (93-T.Slaton).,run,3,0,0,0,0,0,0,NA,NA,NA,NA,S.Barkley,3,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1:20,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KICKOFF
GB,1,PHI,3,4,1,PHI 16,PHI 20,FUMBLE,2,7,PHI 19,07:46,-2,(7:46) (Shotgun) 1-J.Hurts pass short left to 88-D.Goedert to PHI 20 for 1 yard (20-J.Bullard).,pass,1,1,0,1,0,0,0,J.Hurts,1,D.Goedert,1,NA,NA,short,left,-3,4,0,0,0,0,0,0,0,0,1:20,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KICKOFF
GB,1,PHI,3,4,1,PHI 16,PHI 20,FUMBLE,3,6,PHI 20,07:11,-2,"(7:11) (No Huddle, Shotgun) 1-J.Hurts FUMBLES (Aborted) at PHI 15, touched at PHI 14, RECOVERED by GB-95-D.Wyatt at PHI 13.",run,0,1,1,0,0,0,0,NA,NA,NA,NA,J.Hurts,0,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1:20,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,J.Hurts,NA,NA,NA,NA,NA,KICKOFF
GB,1,GB,8,5,1,PHI 13,PHI 5,FIELD_GOAL,1,10,PHI 13,07:06,8,"(7:06) 8-J.Jacobs right end to PHI 5 for 8 yards (2-D.Slay). PENALTY on GB-85-T.Kraft, Offensive Holding, 10 yards, enforced at PHI 13 - No Play.",no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,4:05,1,1,1,-20,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Offensive Holding,FUMBLE
GB,1,GB,8,5,1,PHI 13,PHI 5,FIELD_GOAL,1,20,PHI 23,06:43,8,(6:43) (Shotgun) 10-J.Love pass short right to 11-J.Reed to PHI 14 for 9 yards (32-R.Blankenship; 53-Z.Baun).,pass,9,1,0,1,0,0,0,J.Love,9,J.Reed,9,NA,NA,short,right,-4,13,0,0,0,0,0,0,0,0,4:05,1,1,1,-20,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FUMBLE
GB,1,GB,8,5,1,PHI 13,PHI 5,FIELD_GOAL,2,11,PHI 14,05:58,8,(5:58) (Shotgun) 10-J.Love pass short right to 87-R.Doubs to PHI 4 for 10 yards (2-D.Slay).,pass,10,1,0,1,0,0,0,J.Love,10,R.Doubs,10,NA,NA,short,right,7,3,0,0,0,0,0,0,0,0,4:05,1,1,1,-20,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FUMBLE
GB,1,GB,8,5,1,PHI 13,PHI 5,FIELD_GOAL,3,1,PHI 4,05:27,8,"(5:27) 8-J.Jacobs up the middle to PHI 5 for -1 yards (17-N.Dean, 55-B.Graham).",run,-1,0,0,0,0,0,0,NA,NA,NA,NA,J.Jacobs,-1,NA,NA,NA,NA,0,0,0,1,0,0,0,0,4:05,1,1,1,-20,0,0,0,0,0,N.Dean,NA,NA,NA,NA,NA,NA,NA,NA,NA,FUMBLE
GB,1,GB,8,5,1,PHI 13,PHI 5,FIELD_GOAL,4,2,PHI 5,04:44,8,(4:44) 8-J.Jacobs right tackle to PHI 3 for 2 yards (8-C.Gardner-Johnson; 53-Z.Baun).,run,2,0,0,0,0,0,0,NA,NA,NA,NA,J.Jacobs,2,NA,NA,NA,NA,0,0,0,0,1,0,0,0,4:05,1,1,1,-20,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FUMBLE
GB,1,NA,8,5,1,PHI 13,PHI 5,FIELD_GOAL,NA,0,PHI 3,03:58,8,Timeout #2 by GB at 03:58.,no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,4:05,1,1,1,-20,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FUMBLE
GB,1,GB,8,5,1,PHI 13,PHI 5,FIELD_GOAL,1,3,PHI 3,03:58,8,"(3:58) (Shotgun) 10-J.Love pass incomplete short left to 9-C.Watson (32-R.Blankenship). PENALTY on GB-87-R.Doubs, Offensive Pass Interference, 10 yards, enforced at PHI 3 - No Play.",no_play,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,4:05,1,1,1,-20,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Offensive Pass Interference,FUMBLE
